216	103168		64.78 	66835
217	101203		63.40 	64161
218	98832		64.95 	64191
219	116511		65.15 	75910
220	108036		65.37 	70628
221	111205		64.77 	72023
222	95722		65.52 	62716
223	101698		64.99 	66094
224	95045		50.90 	48378
225	93741		49.43 	46332
333	30598		79.73 	24397
