 133	189264	101 006	100676	2 783	5 127
 134	166011	106 159	105982	2 768	4 924
 135	201891	122 474	122362	2 786	7 906
 136	184461	103 993	103916	3 086	5 467
 137	163998	102 237	102212	2 961	2 227
 138	174389	106 491	106472	3 207	3 405
 139	160723	113 213	113140	4 305	1 600
 140	155632	96 155	96067	3 004	2 501
 141	144521	110 076	109963	5 253	1 454
 142	143461	101 539	101511	3 815	1 777
 143	160443	111 420	111376	3 845	2 554

 144	169589	119 255	119221	2 308	10 009
 145	173408	126 483	126448	2 623	8 511
 146	184063	125 774	125743	1 726	8 959
 147	162290	135 905	135861	2 083	5 336
 148	165013	136 815	136789	2 397	5 670
 149	145079	110 361	110355	2 806	4 718
 150	148897	124 338	124328	2 659	4 292
 151	157002	130 996	130992	3 162	4 847

 152	177718	124 829	124803	2 232	7 244
 153	171289	147 905	147850	3 804	3 652
 154	171050	155 387	155317	3 715	3 635
 155	165611	140 378	140288	6 094	5 075
 156	159782	139 039	139017	4 937	3 784

 157	192624	138 271	138154	2 317	10 093
 158	184315	150 472	150417	5 887	5 364
 159	184671	140 561	140527	5 146	4 500
 160	173507	151 230	150910	7 587	6 041
 161	154743	137 666	137625	7 590	4 746
 162	147601	125 884	125861	4 934	4 200

 163	169295	126 823	126805	1 315	3 911
 164	191355	176 122	176097	2 858	2 728
 165	157270	152 022	151999	2 044	1 403
 166	193613	179 862	179777	2 718	2 045
 167	162494	154 488	154437	3 033	1 534

 168	174255	118 958	118907	1 429	8 583
 169	149587	96 495	96451	1 279	6 490
 170	166326	106 587	106545	1 962	6 023
 171	160129	97 819	97806	1 916	5 544
 172	149211	95 863	95845	1 432	5 064
 173	202424	134 881	134851	2 664	7 014
 174	167014	103 876	103844	1 978	5 553
 175	159324	121 923	121882	4 288	4 056
 176	161071	135 553	135513	6 935	3 341
 177	175922	134 172	134143	3 968	4 523
 178	161534	130 630	130579	4 003	2 865
 179	172120	137 139	137116	3 603	3 882
 180	160118	128 733	128688	4 332	3 669
 181	156120	113 640	113519	3 988	3 874

