216	103168		25.33 	26129
217	101203		28.28 	28618
218	98832		26.61 	26297
219	116511		25.90 	30177
220	108036		25.34 	27375
221	111205		25.81 	28699
222	95722		25.74 	24637
223	101698		25.84 	26278
224	95045		42.81 	40687
225	93741		44.58 	41792
333	30598		15.21 	4653
